a 1.8 1.6
b 1.8 1.6
c 1.8 1.6
d 1.8 1.6
e 1.8 1.6
f 1.8 1.6
g 1.8 1.6
h 1.8 1.6
i 1.8 1.6
j 1.8 1.6
k 1.8 1.6
l 1.8 1.6
m 1.8 1.6
n 1.8 1.6
o 1.8 1.6
p 1.8 1.6
q 1.8 1.6
r 1.8 1.6
s 1.8 1.6
t 1.8 1.6
u 1.8 1.6
v 1.8 1.6
w 1.8 1.6
x 1.8 1.6
y 1.8 1.6
z 1.8 1.6
A 1.8 1.6
B 1.8 1.6
C 1.8 1.6
D 1.8 1.6
E 1.8 1.6
F 1.8 1.6
G 1.8 1.6
H 1.8 1.6
I 1.8 1.6
J 1.8 1.6
K 1.8 1.6
L 1.8 1.6
M 1.8 1.6
N 1.8 1.6
O 1.8 1.6
P 1.8 1.6
Q 1.8 1.6
R 1.8 1.6
S 1.8 1.6
T 1.8 1.6
U 1.8 1.6
V 1.8 1.6
W 1.8 1.6
X 1.8 1.6
Y 1.8 1.6
Z 1.8 1.6
0 1.8 1.6
1 1.8 1.6
2 1.8 1.6
3 1.8 1.6
4 1.8 1.6
5 1.8 1.6
6 1.8 1.6
7 1.8 1.6
8 1.8 1.6
9 1.8 1.6
! 1.8 1.6
"""" 1.8 1.6
# 1.8 1.6
$ 1.8 1.6
% 1.8 1.6
& 1.8 1.6
' 1.8 1.6
( 1.8 1.6
) 1.8 1.6
* 1.8 1.6
+ 1.8 1.6
, 1.8 1.6
- 1.8 1.6
. 1.8 1.6
/ 1.8 1.6
: 1.8 1.6
; 1.8 1.6
< 1.8 1.6
= 1.8 1.6
> 1.8 1.6
? 1.8 1.6
@ 1.8 1.6
[ 1.8 1.6
\ 1.8 1.6
] 1.8 1.6
^ 1.8 1.6
_ 1.8 1.6
` 1.8 1.6
{ 1.8 1.6
| 1.8 1.72
} 1.8 1.6
~ 1.8 1.6
